pk,pk,strength
1020215,1019541,2741
1020627,1019541,2741
1020960,1019541,151
1020960,1019541,486
1020960,1019541,2741
1038768,1019541,2161
1038768,1019541,2741
1042028,1019541,486
1042028,1019541,2892
1042098,1019541,151
1042098,1019541,2741
1047817,1019541,151
1047817,1019541,426
1047817,1019541,2741
1064235,1019541,151
1064235,1019541,2741
1018511,1019580,8006
1019602,1019580,8006
1020477,1019580,8006
1020633,1019580,11232
1020851,1019580,8006
1020933,1019580,8006
1020983,1019580,10044
1067955,1019580,8006
1087976,1019580,12601
1018488,1019581,2861
1019593,1019581,2861
1019648,1019581,2861
1019648,1019581,8675
1019833,1019581,2861
1019847,1019581,2861
1020029,1019581,2861
1020029,1019581,8675
1020428,1019581,2861
1020596,1019581,2861
1020644,1019581,2861
1020644,1019581,8675
1047265,1019581,2861
1062815,1019581,2861
1062815,1019581,8675
1088433,1019581,2861
1088433,1019581,8766
1018488,1019593,1218
1019581,1019593,2861
1019648,1019593,2861
1019833,1019593,2861
1020029,1019593,2861
1020428,1019593,1218
1020596,1019593,2710
1020644,1019593,2861
1047265,1019593,2861
1060571,1019593,2010
1062815,1019593,2861
1088433,1019593,2861
1097935,1019593,1551
1019111,1019594,4626
1057151,1019594,6787
1018511,1019602,2678
1018511,1019602,3165
1019580,1019602,8006
1020477,1019602,2557
1020633,1019602,11232
1020851,1019602,2739
1020933,1019602,2435
1020983,1019602,2374
1020983,1019602,10044
1067955,1019602,943
1067955,1019602,1005
1087976,1019602,12601
1019833,1019628,3318
1020955,1019628,2192
1020748,1019642,1551
1020943,1019642,1551
1018488,1019648,2861
1019581,1019648,2861
1019581,1019648,8675
1019593,1019648,2861
1019833,1019648,2861
1019847,1019648,821
1019847,1019648,2861
1020029,1019648,821
1020029,1019648,2861
1020029,1019648,8675
1020428,1019648,2861
1020596,1019648,821
1020596,1019648,2861
1020644,1019648,821
1020644,1019648,2861
1020644,1019648,8675
1047265,1019648,821
1047265,1019648,2861
1062815,1019648,821
1062815,1019648,2861
1062815,1019648,8675
1088433,1019648,2861
1088433,1019648,8766
1020336,1019675,1400
1018488,1019833,2861
1019581,1019833,2861
1019593,1019833,2861
1019628,1019833,3318
1019648,1019833,2861
1019847,1019833,2861
1020029,1019833,2861
1020428,1019833,2861
1020547,1019833,3165
1020596,1019833,2861
1020644,1019833,2861
1047265,1019833,2861
1062815,1019833,2861
1088433,1019833,2861
1018732,1019847,2253
1019581,1019847,2861
1019648,1019847,821
1019648,1019847,2861
1019833,1019847,2861
1020029,1019847,821
1020029,1019847,2861
1020215,1019847,2253
1020383,1019847,2253
1020585,1019847,2253
1020596,1019847,821
1020644,1019847,821
1020644,1019847,2861
1020717,1019847,2253
1038768,1019847,2253
1047265,1019847,821
1047265,1019847,2861
1062815,1019847,821
1062815,1019847,2861
1088433,1019847,2861
1019268,1019848,1461
1020751,1019848,5023
1029796,1019848,7853
1061577,1019848,3012
1060571,1019909,2953
1019535,1019952,11719
1020805,1019952,6484
1025410,1019952,12905
1018494,1020013,12205
1019205,1020013,12205
1059965,1020013,12754
1018501,1020027,8491
1018488,1020029,2861
1019581,1020029,2861
1019581,1020029,8675
1019593,1020029,2861
1019648,1020029,821
1019648,1020029,2861
1019648,1020029,8675
1019833,1020029,2861
1019847,1020029,821
1019847,1020029,2861
1020428,1020029,2861
1020596,1020029,821
1020596,1020029,2861
1020644,1020029,821
1020644,1020029,2861
1020644,1020029,8675
1047265,1020029,821
1047265,1020029,2861
1062815,1020029,821
1062815,1020029,2861
1062815,1020029,8675
1088433,1020029,2861
1088433,1020029,8766
1020329,1020041,4230
1020585,1020041,4230
1020627,1020041,4230
1060002,1020070,3012
1020596,1020073,7730
1020304,1020130,4565
1018860,1020167,3165
