pk,pk,strength
1142018,1019648,821
1142018,1019648,2861
1142018,1019648,8675
1020336,1019675,1400
1018488,1019833,2861
1019581,1019833,2861
1019593,1019833,2861
1019628,1019833,3318
1019648,1019833,2861
1019847,1019833,2861
1020029,1019833,2861
1020428,1019833,2861
1047265,1019833,2861
1062815,1019833,2861
1088433,1019833,2861
1113636,1019833,2861
1134140,1019833,2861
1142018,1019833,2861
1018732,1019847,2253
1019581,1019847,2861
1019648,1019847,821
1019648,1019847,2861
1019833,1019847,2861
1020029,1019847,821
1020029,1019847,2861
1020215,1019847,2253
1020383,1019847,2253
1038768,1019847,2253
1047265,1019847,821
1047265,1019847,2861
1062815,1019847,821
1062815,1019847,2861
1088433,1019847,2861
1134140,1019847,821
1134140,1019847,2861
1142018,1019847,821
1142018,1019847,2861
1019268,1019848,1461
1029796,1019848,7853
1061577,1019848,3012
1060571,1019909,2953
1147363,1019909,2101
1019535,1019952,11719
1025410,1019952,12905
1134585,1019952,6484
1158289,1019952,6484
1018494,1020013,12205
1019205,1020013,12205
1059965,1020013,12754
1018501,1020027,8491
1018488,1020029,2861
1019581,1020029,2861
1019581,1020029,8675
1019593,1020029,2861
1019648,1020029,821
1019648,1020029,2861
1019648,1020029,8675
1019833,1020029,2861
1019847,1020029,821
1019847,1020029,2861
1020428,1020029,2861
1047265,1020029,821
1047265,1020029,2861
1062815,1020029,821
1062815,1020029,2861
1062815,1020029,8675
1088433,1020029,2861
1088433,1020029,8766
1113636,1020029,2861
1134140,1020029,821
1134140,1020029,2861
1134140,1020029,8675
1142018,1020029,821
1142018,1020029,2861
1142018,1020029,8675
1020329,1020041,4230
1133969,1020041,4230
1060002,1020070,3012
1020304,1020130,4565
1018860,1020167,3165
1018860,1020167,3592
1059028,1020167,3712
1018695,1020215,151
1018695,1020215,2741
1018732,1020215,151
1018732,1020215,2161
1018732,1020215,2741
1018977,1020215,2161
1018977,1020215,2741
1018980,1020215,151
1018980,1020215,2161
1018980,1020215,2741
1019016,1020215,2161
1019016,1020215,2741
1019120,1020215,151
1019120,1020215,2161
1019120,1020215,2741
1019183,1020215,151
1019183,1020215,2161
1019183,1020215,2741
1019334,1020215,151
1019334,1020215,2741
1019541,1020215,151
1019541,1020215,2161
1019541,1020215,2741
1019847,1020215,2253
1038768,1020215,2161
1038768,1020215,2741
1042028,1020215,2161
1042028,1020215,2892
1042098,1020215,151
1042098,1020215,2741
1047817,1020215,151
1047817,1020215,2161
1047817,1020215,2741
1064235,1020215,151
1064235,1020215,2741
1097986,1020215,151
1097986,1020215,2161
1097986,1020215,2741
1112521,1020215,2161
1112521,1020215,2741
1113636,1020215,151
1113636,1020215,2741
1134091,1020215,151
1138092,1020215,151
1138092,1020215,2161
1138092,1020215,2741
1155255,1020215,151
1097529,1020246,365
1097529,1020246,6818
1020130,1020304,4565
1020041,1020329,4230
1133969,1020329,2739
1019675,1020336,1400
1018688,1020356,10897
1018822,1020356,10897
1019395,1020356,10897
1021266,1020356,10897
1018973,1020383,578
1018973,1020383,10196
1018977,1020383,578
1018980,1020383,578
1019016,1020383,578
1019120,1020383,578
1019847,1020383,2253
1020428,1020383,2800
1042028,1020383,578
1050956,1020383,578
1097986,1020383,578
1112521,1020383,578
1138092,1020383,578
1018539,1020385,1400
1018539,1020385,12966
1020419,1020385,1400
1020419,1020385,10197
1020419,1020385,12966
1020446,1020385,1400
1020446,1020385,12815
1018539,1020419,548
1018539,1020419,12966
1020385,1020419,1400
1020385,1020419,10197
1020385,1020419,12966
1020446,1020419,548
1020446,1020419,12815
1020446,1020419,12966
1018488,1020428,334
1018488,1020428,1550
1019581,1020428,2861
1019593,1020428,1218
1019648,1020428,2861
1019833,1020428,2861
1020029,1020428,2861
1020383,1020428,2800
1047265,1020428,2861
1062815,1020428,2861
1088433,1020428,2861
1113636,1020428,426
1134140,1020428,2861
1142018,1020428,2861
1018539,1020446,456
1018539,1020446,12966
1020385,1020446,1400
1020385,1020446,12815
1020419,1020446,548
1020419,1020446,12815
1020419,1020446,12966
1018511,1020477,3165
1019580,1020477,8006
1019602,1020477,2557
1067955,1020477,2557
1087976,1020477,12601
1139836,1020477,10258
1018688,1021266,6240
1018822,1021266,9162
1019395,1021266,5114
1020356,1021266,10897
1018794,1024573,10683
1019535,1025410,12905
1019952,1025410,12905
1134585,1025410,12905
1158289,1025410,12905
1019268,1029796,7853
1019848,1029796,7853
1061577,1029796,7853
1018927,1035537,2769
1018732,1038768,2161
1018732,1038768,2741
1018977,1038768,1706
1018977,1038768,2161
1018980,1038768,2161
1018980,1038768,2741
1019016,1038768,1280
1019016,1038768,2161
1019120,1038768,2161
1019120,1038768,2741
1019183,1038768,2161
1019183,1038768,2741
1019334,1038768,2741
1019541,1038768,2161
1019541,1038768,2741
1019847,1038768,2253
1020215,1038768,2161
1020215,1038768,2741
1042028,1038768,2161
1042028,1038768,2892
1042098,1038768,2741
1047817,1038768,2161
1047817,1038768,2741
1097986,1038768,2161
1097986,1038768,2741
1112521,1038768,1280
1112521,1038768,2161
1138092,1038768,2161
1138092,1038768,2741
1069882,1041526,9253
1125244,1041526,8644
1139164,1041526,8432
1018732,1042028,2161
1018732,1042028,2892
1018973,1042028,486
1018977,1042028,486
1018977,1042028,2892
1018977,1042028,6908
1018980,1042028,486
1018980,1042028,2892
1018980,1042028,9618
1019016,1042028,486
1019016,1042028,2892
1019016,1042028,4962
1019120,1042028,486
1019120,1042028,2892
1019120,1042028,6543
1019183,1042028,486
1019183,1042028,2892
1019334,1042028,2892
1019541,1042028,486
1019541,1042028,2892
1020215,1042028,2161
1020215,1042028,2892
1020383,1042028,578
1038768,1042028,2161
1038768,1042028,2892
1042098,1042028,2892
1047817,1042028,486
1047817,1042028,2892
1050956,1042028,486
1097986,1042028,486
1097986,1042028,2892
1097986,1042028,6515
1112521,1042028,486
1112521,1042028,2892
1112521,1042028,9100
1138092,1042028,486
1138092,1042028,2892
1138092,1042028,5235
1018695,1042098,151
1018695,1042098,2741
1018732,1042098,151
1018732,1042098,2741
1018977,1042098,2741
1018980,1042098,151
1018980,1042098,2741
1019016,1042098,2741
1019120,1042098,151
1019120,1042098,2741
1019183,1042098,151
1019183,1042098,2741
1019334,1042098,151
1019334,1042098,2131
1019334,1042098,2741
1019541,1042098,151
1019541,1042098,2741
1020215,1042098,151
1020215,1042098,2741
1038768,1042098,2741
1042028,1042098,2892
1047817,1042098,151
1047817,1042098,2741
1064235,1042098,151
1064235,1042098,2741
1097986,1042098,151
1097986,1042098,2741
1112521,1042098,2741
1113636,1042098,151
1113636,1042098,2741
1134091,1042098,151
1138092,1042098,151
1138092,1042098,2741
1155255,1042098,151
1018488,1047265,2861
1019581,1047265,2861
1019593,1047265,2861
1019648,1047265,821
1019648,1047265,2861
1019833,1047265,2861
1019847,1047265,821
1019847,1047265,2861
1020029,1047265,821
1020029,1047265,2861
1020428,1047265,2861
1062815,1047265,821
1062815,1047265,2861
1088433,1047265,2861
1113636,1047265,2861
1113636,1047265,4200
1134140,1047265,821
1134140,1047265,2861
1142018,1047265,821
1142018,1047265,2861
1018695,1047817,151
1018695,1047817,2741
1018732,1047817,151
1018732,1047817,2161
1018732,1047817,2741
1018977,1047817,486
1018977,1047817,2741
1018980,1047817,151
1018980,1047817,486
1018980,1047817,2741
1019016,1047817,486
1019016,1047817,2741
1019120,1047817,151
1019120,1047817,486
1019120,1047817,2741
1019183,1047817,151
1019183,1047817,426
1019183,1047817,2741
1019334,1047817,151
1019334,1047817,2741
1019541,1047817,151
1019541,1047817,426
1019541,1047817,2741
1020215,1047817,151
1020215,1047817,2161
1020215,1047817,2741
1038768,1047817,2161
1038768,1047817,2741
1042028,1047817,486
1042028,1047817,2892
1042098,1047817,151
1042098,1047817,2741
1064235,1047817,151
1064235,1047817,2741
1097986,1047817,151
1097986,1047817,486
1097986,1047817,2741
1112521,1047817,486
1112521,1047817,2741
1113636,1047817,151
1113636,1047817,2741
1134091,1047817,151
1138092,1047817,151
1138092,1047817,486
1138092,1047817,2741
1155255,1047817,151
1053293,1048610,31
1053293,1048610,274
1054534,1048610,31
1054534,1048610,274
1095238,1048610,31
1018973,1050956,456
1018977,1050956,486
1018980,1050956,486
1019016,1050956,486
1019117,1050956,6209
1019120,1050956,486
1020383,1050956,578
1042028,1050956,486
1097986,1050956,486
1112521,1050956,486
1138092,1050956,486
1048610,1053293,31
1048610,1053293,274
1054534,1053293,31
1054534,1053293,274
1095238,1053293,31
1095238,1053293,15311
1048610,1054534,31
1048610,1054534,274
1053293,1054534,31
1053293,1054534,274
1095238,1054534,31
1019111,1057151,6787
1019594,1057151,6787
1018860,1059028,3712
1020167,1059028,3712
1018494,1059965,12754
1019205,1059965,12754
1020013,1059965,12754
1020070,1060002,3012
1019593,1060571,2010
1019909,1060571,2953
1147363,1060571,2953
1019268,1061577,3012
1019848,1061577,3012
1029796,1061577,7853
1018488,1062815,2861
1019581,1062815,2861
1019581,1062815,8675
